TP53,XIAP
CASP9,CASP3
CASP6,CASP3
CASP8,CASP3
CASP10,CASP3
XIAP,CASP3
P21,CASP3
BIRC2,CASP3
TGFBR2,DAXX
HSPB1,DAXX
CASP8,FADD
TRADD,FADD
CASP3,CASP6
CASP7,CASP6
CASP10,CASP6
XIAP,CASP6
CASP6,CASP7
CASP9,CASP7
CASP10,CASP7
XIAP,CASP7
BIRC2,CASP7
HIF1A,BIRC2
CASP8,BIRC2
CASP8,CASP10
FADD,CASP10
CASP6,CASP10
CASP3,CASP10
PARP1,CYC
XIAP,DIABLO
BIRC2,DIABLO
XIAP,BIRC5
DIABLO,BIRC5
BCL2,PMAIP1
MCL1,PMAIP1
DAXX,MAP3K5
ARRB1,MAP3K5
TK1,P21
VIM,ERK1
